136ca449;2e991109;Dragon Ball Z Gaiden< - Saiya Jin Zetsumetsu Keikaku>;0;16;16;32;J;Bandai
13775e20;b6d89e71;Super Peach (SMB1 Hack);1;0;2;1;GH
137b27d8;57f72adf;Klax (Bad Dump);65;0;4;8;JB;Hudson Soft
138862c5;138862c5;WWF Wrestlemania Challenge;33;0;8;0;E
139b15ba;1c309d0a;Golf '92, The;16;0;8;16;J;G.O 1
139eb5b5;651700a5;Indiana Jones and the Temple of Doom (Tengen);64;0;8;8;UX;Tengen
13b1ece6;feb2585c;Donkey Kong (Spanish v1.0);0;0;1;1;T;Paladin Knights
13be9a74;00000000*8,32;Bo Jackson Baseball (Wrong Size);65;0;8;23;U;Data East
13c6617e;5a3e41d8;Batman;65;0;8;16;U;Sunsoft
13d5b1a4;13d5b1a4;Time Lord;112;0;8;0;U;Milton Bradley
13da2122;d9803a35;Quinty;129;80;8;16;J;Namco
13e01649;0adb2c4c;Shadowgate;67;0;8;16;E;Kemco
1408a99e;1408a99e;Wai Wai World (FFE Hack) (English v3.0);101;0;16;0;T;Neo Demiforce
14105c13;61fbd9a6;Spiritual Warfare (Ver 6.1);177;0;8;16;UX;Wisdom Tree
1411005b;e19a2473;Sugoro Quest< - Dice no Senshi Tachi>;67;0;8;16;J;Technos Japan
14255c57;07637ee4;Corvette ZR-1 Challenge;16;0;8;16;E;Milton Bradley
1425d7f4;a8aa7994;Arkista's Ring;48;0;2;4;U;American Sammy
143b8d48;143b8d48;Mega Man 6 (Bad CHR);64;0;32;0;UB;Capcom
145a9a6c;b97afb85;Devil World;0;0;1;1;J;Nintendo
147733df;147733df;76-in-1 (Pirate Cart);33;224;128;0;UZ;Supervision
1495414c;1495414c;Money Game, The (FFE Hack);97;0;16;0;JM;Sofel
149c0ec3;3b05ac54;Famicom Shougi - Ryuuousen;18;0;8;16;J;I'Max
14a81635;124af039;Moon Ranger;177;0;4;8;UX;Bunch Games
14cd576e;e675ba2a;Abadox;16;0;8;16;J;Natsume
1500e835;63bb86b5;Jetsons< - Cogswell's Caper!>, The;16;32;8;32;J;Taito
1512e0b1;00000000*-1,1;Mahjong (Wrong Size);1;0;2;1;J;Nintendo
15141401;336e2a6f;Asmik Kun Land;65;0;8;16;J;Asmik
153eb948;2b7aa080;Chu Da D;64;0;4;8;As
1545bd13;1545bd13;<Gimmi a Break - >Shijou Saikyou no Quiz Ou Ketteisen 2;16;0;16;0;J;Yonezawa
15662081;15662081;Hector 87;33;0;8;0;J;Hudson Soft
1590f407;45b06386;Chronicle of the Radia War (English v1.0);66;0;16;16;T
15e9d230;ad6cdf29;Duck Hunt (Bad PRG);1;0;1;1;JUEB;Nintendo
15f0d3f1;15f0d3f1;Wayne Gretzky Hockey;33;0;8;0;U;T*HQ
15fe6d0f;2b548d75;Bandit Kings of Ancient China;82;0;16;16;U;Koei
161d717b;de182c88;Bad Dudes;65;0;8;16;U;Data East
162ccbd0;84db1813;Toukyou Pachi Slot Adventure;16;0;8;16;J
163a5eda;98ab3f0f;Batman 3 (Pirate);64;0;8;32;Z
163eccae;df189d34;Antarctic Adventure;0;0;1;1;J;Konami
1649c27a;00000000;Invisible Mario Bros. (SMB1 Hack);1;0;2;1;GH
16a0a3a3;16a0a3a3;Hitler no Fukkatsu< - Top Secret>;16;0;16;0;J;Capcom
16aa4e2d;ff5135a3;Hogan's Alley;49;97;2;2;V;Nintendo
16d10b24;042f17c4;Best Play Pro Yakyuu (Bad Dump);16;0;8;4;JB;ASCII
16e93f39;37d13f96;Tashiro Masashi no Princess ga Ippai;16;0;8;16;J;Epic-Sony Records
16eba50a;1718473c;Star Trek - 25th Anniversary;65;0;16;32;U;Ultra Games
1708fff4;72dd449d;24-in-1 (Menu);16;0;4;4;UZ
171251e3;c4e8c04a;1942;0;0;2;1;JU;Capcom
174f860a;174f860a;Indora no Hikari;18;0;8;0;J;Kotobuki System
175c4a3c;4937f7a1;Moero!! Junior Basket< - Two on Two>;176;64;8;16;J;Jaleco
175eda0b;68ecb923;<Great Boxing - >Rush Up;65;0;8;16;J;Visco
1771ea8f;bc5f6c94;Athletic World;49;0;2;4;U;Bandai
178dba78;d2a530fb;Pro Action Replay;1;0;2;1;E
179a0d57;8e5c2818;Tecmo Super Bowl;66;0;16;16;U;Tecmo
17cc69da;00000000;Babio - Super Baby Bros. (SMB1 Hack);1;0;2;1;GH
1829616a;196f05dd;Gorby no Pipeline Dai Sakusen;48;0;2;4;J;Tokuma Shoten
183859d2;31cd9903;Dragon Ball Z< - Kyoushuu! Saiya Jin>;0;16;16;32;J;Bandai
184c2124;95ba5733;Sangokushi 2;82;0;16;32;J;Koei
185633d5;185633d5;Olympus no Tatakai (Mapper 2 Hack);33;0;8;0;JM;Imagineer
187468ae;187468ae;Prince of Persia (Bad Dump);33;0;8;0;UB;Virgin Games
18a04825;75dc25a7;Terminator 2< - Judgement Day>;65;0;8;16;E
18a885b0;349313df;Street Fighter 2010;65;0;8;16;J;Capcom
18a9f0d9;e84f40e5;Baseball Stars 2;67;0;16;16;U;Romstar
18b249e5;212b4ba0;Barbie (PRG 1 CHR 1);16;0;8;16;U;Hi Tech Expressions
18bd1afb;00000000*8,16;Adventures of Rocky and Bullwinkle and Friends, The (Wrong Size);65;0;8;15;U;T*HQ
18d44bba;18d44bba;Isaki Shuugorou no Keiba Hisshou Gaku;18;0;16;0;J;Imagineer
192d546f;468db9a0;Robocop;65;0;8;16;U;Data East
